Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
1,Jonathan Taylor*+,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4
2,Najee Harris*,PIT,23,RB,17,17,307,1200,7,62,37,3.9,70.6,0
3,Joe Mixon*,CIN,25,RB,16,16,292,1205,13,60,32,4.1,75.3,2
4,Antonio Gibson,WAS,23,RB,16,14,258,1037,7,65,27,4,64.8,6
5,Dalvin Cook*,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3
6,Alvin Kamara*,NOR,26,rb,13,10,240,898,4,42,30,3.7,69.1,0
7,Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1
8,Nick Chubb*,CLE,26,RB,14,14,228,1259,8,61,70,5.5,89.9,2
9,David Montgomery,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1
10,Derrick Henry,TEN,27,rb,8,8,219,937,10,49,76,4.3,117.1,1
11,Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,28,4,58.1,2
12,Sony Michel,LAR,26,rb,17,7,208,845,4,49,39,4.1,49.7,1
13,Elijah Mitchell,SFO,23,rb,11,10,207,963,5,47,39,4.7,87.5,0
14,Austin Ekeler,LAC,26,RB,16,16,206,911,12,53,28,4.4,56.9,4
15,Melvin Gordon,DEN,28,RB,16,16,203,918,8,48,70,4.5,57.4,3
16,Javonte Williams,DEN,21,rb,17,1,203,903,4,52,49,4.4,53.1,2
17,James Conner*,ARI,26,rb,15,6,202,752,15,53,35,3.7,50.1,2
18,Damien Harris,NWE,24,RB,15,15,202,929,15,55,64,4.6,61.9,2
19,Devin Singletary,BUF,24,RB,17,16,188,870,7,44,46,4.6,51.2,5
20,AJ Dillon,GNB,23,rb,17,2,187,803,5,50,36,4.3,47.2,2
21,Leonard Fournette,TAM,26,RB,14,13,180,812,8,45,47,4.5,58,1
22,Myles Gaskin,MIA,24,rb,17,10,173,612,3,25,30,3.5,36,2
23,Chuba Hubbard,CAR,22,rb,17,10,172,612,5,36,26,3.6,36,1
24,Aaron Jones,GNB,27,RB,15,15,171,799,4,37,57,4.7,53.3,2
25,James Robinson,JAX,23,RB,14,13,164,767,8,41,58,4.7,54.8,4
26,Saquon Barkley,NYG,24,RB,13,13,162,593,2,27,41,3.7,45.6,2
27,Mark Ingram,2TM,32,,14,10,160,554,2,23,28,3.5,39.6,1
28,Cordarrelle Patterson,ATL,30,RB,16,13,153,618,6,29,39,4,38.6,2
29,Jamaal Williams,DET,26,RB,13,11,153,601,3,42,20,3.9,46.2,1
30,D'Andre Swift,DET,22,rb,13,4,151,617,5,28,57,4.1,47.5,2
