Rk,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Daniel Carlson,LVR,26,k,17,0,,,,,,,,,,,0,30,33,40,43,,150,8.8
2,Nick Folk,NWE,37,k,17,0,,,,,,,,,,,0,42,47,36,39,,150,8.8
3,Matt Gay*,LAR,27,k,17,0,,,,,,,,,,,0,48,49,32,34,,144,8.5
4,Matt Prater,ARI,37,k,17,0,,,,,,,,,,,0,47,49,30,37,,137,8.1
5,Justin Tucker*+,BAL,32,k,17,0,,,,,,,,,,,0,32,32,35,37,,137,8.1
6,Tyler Bass,BUF,24,k,17,0,,,,,,,,,,,0,51,51,28,32,,135,7.9
7,Chris Boswell,PIT,30,k,17,0,,,,,,,,,,,0,27,29,36,40,,135,7.9
8,Greg Joseph,MIN,27,k,17,0,,,,,,,,,,,0,36,40,33,38,,135,7.9
9,Jake Elliott *,PHI,26,k,17,0,,,,,,,,,,,0,44,44,30,33,,134,7.9
10,Ryan Succop,TAM,35,k,17,0,,,,,,,,,,,0,56,59,25,30,,131,7.7
11,Dustin Hopkins,2TM,31,,17,0,,,,,,,,,,,0,40,44,30,34,,130,7.6
12,Evan McPherson,CIN,22,k,16,0,,,,,,,,,,,0,46,48,28,33,,130,8.1
13,Greg Zuerlein,DAL,34,k,16,0,,,,,,,,,,,0,42,48,29,35,,129,8.1
14,Mason Crosby,GNB,37,k,17,0,,,,,,,,,,,0,49,51,25,34,,124,7.3
15,Austin Ekeler,LAC,26,RB,16,16,12,8,,,,,,20,2,,0,,,,,,124,7.8
16,Harrison Butker,KAN,26,k,16,0,,,,,,,,,,,0,47,49,25,28,,122,7.6
17,Randy Bullock,TEN,32,k,16,0,,,,,,,,,,,0,42,45,26,31,,120,7.5
18,Jonathan Taylor*+,IND,22,RB,17,17,18,2,,,,,,20,,,0,,,,,,120,7.1
19,Younghoe Koo,ATL,27,k,17,0,,,,,,,,,,,0,30,30,27,29,,111,6.5
20,Brandon McManus,DEN,30,k,17,0,,,,,,,,,,,0,33,34,26,31,,111,6.5
21,James Conner*,ARI,26,rb,15,6,15,3,,,,,,18,,,0,,,,,,108,7.2
22,Cairo Santos,CHI,30,k,17,0,,,,,,,,,,,0,27,28,26,30,,105,6.2
23,Graham Gano,NYG,34,k,17,0,,,,,,,,,,,0,17,17,29,33,,104,6.1
24,Jason Sanders,MIA,26,k,17,0,,,,,,,,,,,0,34,35,23,31,,103,6.1
25,Robbie Gould,SFO,39,k,13,0,,,,,,,,,,,0,39,40,20,23,,99,7.6
26,Cooper Kupp*+,LAR,28,WR,17,17,,16,,,,,,16,1,,0,,,,,,98,5.8
27,Joe Mixon*,CIN,25,RB,16,16,13,3,,,,,,16,,,0,,,,,,96,6
28,Jason Myers,SEA,30,k,17,0,,,,,,,,,,,0,44,47,17,23,,95,5.6
29,Michael Badgley,2TM,26,,13,0,,,,,,,,,,,0,40,41,18,22,,94,7.2
30,Damien Harris,NWE,24,RB,15,15,15,,,,,,,15,,,0,,,,,,90,6
31,Joey Slye,3TM,25,,12,0,,,,,,,,,,,0,18,22,23,25,,87,7.3
32,Mike Evans*,TAM,28,WR,16,16,,14,,,,,,14,,,0,,,,,,84,5.3
33,Deebo Samuel*+,SFO,25,WR,16,15,8,6,,,,,,14,,,0,,,,,,84,5.3
34,Zane Gonzalez,CAR,26,k,12,0,,,,,,,,,,,0,22,23,20,22,,82,6.8
35,Chase McLaughlin,CLE,25,k,16,0,,,,,,,,,,,0,36,37,15,21,,81,5.1
36,Ja'Marr Chase*,CIN,21,WR,17,17,,13,,,,,,13,,,0,,,,,,78,4.6
37,Ezekiel Elliott,DAL,26,RB,17,17,10,2,,,,,,12,3,,0,,,,,,78,4.6
38,Matthew Wright,JAX,25,k,14,0,,,,,,,,,,,0,13,15,21,24,,76,5.4
39,D.K. Metcalf,SEA,24,WR,17,17,,12,,,,,,12,,,0,,,,,,72,4.2
40,Davante Adams*+,GNB,29,WR,16,16,,11,,,,,,11,,,0,,,,,,66,4.1
41,Cordarrelle Patterson,ATL,30,RB,16,13,6,5,,,,,,11,,,0,,,,,,66,4.1
42,Antonio Gibson,WAS,23,RB,16,14,7,3,,,,,,10,1,,0,,,,,,62,3.9
43,Derrick Henry,TEN,27,rb,8,8,10,,,,,,,10,1,,0,,,,,,62,7.8
44,Stefon Diggs*,BUF,28,WR,17,17,,10,,,,,,10,,,0,,,,,,60,3.5
45,Leonard Fournette,TAM,26,RB,14,13,8,2,,,,,,10,,,0,,,,,,60,4.3
46,Melvin Gordon,DEN,28,RB,16,16,8,2,,,,,,10,,,0,,,,,,60,3.8
47,Najee Harris*,PIT,23,RB,17,17,7,3,,,,,,10,,,0,,,,,,60,3.5
48,Jalen Hurts,PHI,23,QB,15,15,10,,,,,,,10,,,0,,,,,,60,4
49,Justin Jefferson*,MIN,22,WR,17,17,,10,,,,,,10,,,0,,,,,,60,3.5
50,Aaron Jones,GNB,27,RB,15,15,4,6,,,,,,10,,,0,,,,,,60,4
51,Travis Kelce*,KAN,32,TE,16,16,1,9,,,,,,10,,,0,,,,,,60,3.8
52,Adam Thielen,MIN,31,WR,13,13,,10,,,,,,10,,,0,,,,,,60,4.6
53,Mark Andrews*+,BAL,26,te,17,9,,9,,,,,,9,2,,0,,,,,,58,3.4
54,Ka'imi Fairbairn,HOU,27,k,13,0,,,,,,,,,,,0,13,16,15,19,,58,4.5
55,Brett Maher,NOR,32,,8,0,,,,,,,,,,,0,10,12,16,18,,58,7.3
56,Mike Williams,LAC,27,WR,16,14,,9,,,,,,9,1,,0,,,,,,56,3.5
57,Riley Patterson,DET,22,k,7,0,,,,,,,,,,,0,16,16,13,14,,55,7.9
58,Nick Chubb*,CLE,26,RB,14,14,8,1,,,,,,9,,,0,,,,,,54,3.9
59,Hunter Henry,NWE,27,te,17,10,,9,,,,,,9,,,0,,,,,,54,3.2
60,Tyreek Hill*,KAN,27,WR,17,16,,9,,,,,,9,,,0,,,,,,54,3.2
61,Josh Jacobs,LVR,23,RB,15,14,9,,,,,,,9,,,0,,,,,,54,3.6
62,Alvin Kamara*,NOR,26,rb,13,10,4,5,,,,,,9,,,0,,,,,,54,4.2
63,Dawson Knox,BUF,25,TE,15,14,,9,,,,,,9,,,0,,,,,,54,3.6
64,Hunter Renfrow*,LVR,26,wr,17,9,,9,,,,,,9,,,0,,,,,,54,3.2
65,Matt Ammendola,NYJ,25,k,11,0,,,,,,,,,,,0,14,15,13,19,,53,4.8
66,Diontae Johnson*,PIT,25,WR,16,14,,8,,,,,,8,1,,0,,,,,,50,3.1
67,Tyler Lockett,SEA,29,WR,16,16,,8,,,,,,8,1,,0,,,,,,50,3.1
68,Dalton Schultz,DAL,25,TE,17,15,,8,,,,,,8,1,,0,,,,,,50,2.9
69,Amari Cooper,DAL,27,WR,15,14,,8,,,,,,8,,,0,,,,,,48,3.2
70,Darrell Henderson,LAR,24,rb,12,10,5,3,,,,,,8,,,0,,,,,,48,4
71,DeAndre Hopkins,ARI,29,wr,10,10,,8,,,,,,8,,,0,,,,,,48,4.8
72,Allen Lazard,GNB,26,WR,15,13,,8,,,,,,8,,,0,,,,,,48,3.2
73,James Robinson,JAX,23,RB,14,13,8,,,,,,,8,,,0,,,,,,48,3.4
74,Devin Singletary,BUF,24,RB,17,16,7,1,,,,,,8,,,0,,,,,,48,2.8
75,Darrel Williams,KAN,26,rb,17,7,6,2,,,,,,8,,,0,,,,,,48,2.8
76,Pat Freiermuth,PIT,23,te,16,9,,7,,,,,,7,1,,0,,,,,,44,2.8
